sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,*,White,Married-civ-spouse,Higher education,*,Government,Technical,>50K
Female,*,*,Never-married,Higher education,North America,Non-Government,*,<=50K
Female,*,*,spouse not present,*,*,Non-Government,*,<=50K
Male,*,*,spouse not present,*,*,Private,Other-service,<=50K
*,*,*,*,*,North America,*,*,<=50K
*,*,*,*,*,*,Non-Government,*,<=50K
Female,*,*,spouse not present,*,North America,*,Other,<=50K
Male,40-59,White,spouse not present,Higher education,North America,Non-Government,Nontechnical,>50K
Female,*,*,*,Higher education,*,Non-Government,*,<=50K
Male,*,White,*,Higher education,United-States,Non-Government,*,>50K
Male,*,White,*,*,*,*,*,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,*,Private,Nontechnical,<=50K
*,40-59,White,spouse not present,Higher education,*,Non-Government,*,>50K
Male,40-59,White,Married-civ-spouse,Graduate,United-States,Private,Nontechnical,>50K
Male,*,White,Married-civ-spouse,Undergraduate,United-States,Private,Sales,>50K
Female,20-39,*,spouse not present,*,*,Non-Government,*,<=50K
Female,*,*,Divorced,*,North America,*,*,<=50K
Female,30-39,White,spouse not present,*,North America,Private,Adm-clerical,<=50K
Male,*,White,*,*,North America,*,*,>50K
*,40-59,*,spouse not present,*,*,Government,*,<=50K
Male,60-79,White,*,Higher education,United-States,Non-Government,*,<=50K
Male,*,White,spouse not present,Higher education,*,*,*,<=50K
Male,*,*,spouse not present,*,North America,*,*,<=50K
Male,40-59,*,Married-civ-spouse,Higher education,North America,Non-Government,*,<=50K
Female,*,*,spouse not present,*,North America,Non-Government,*,<=50K
Male,20-39,White,Never-married,*,North America,Private,Other-service,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,United-States,Private,Technical,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,<=50K
Male,40-59,White,Married-civ-spouse,*,North America,Non-Government,Other,>50K
*,20-39,*,spouse not present,High School,*,*,*,<=50K
Male,45-49,*,Married-civ-spouse,*,United-States,Private,Other,<=50K
Male,20-39,White,Married-civ-spouse,Graduate,North America,Non-Government,*,>50K
*,*,*,*,*,*,*,*,<=50K
Female,*,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,40-59,*,*,*,*,Non-Government,Technical,>50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Non-Government,*,>50K
Female,*,White,spouse not present,*,North America,Private,Other,<=50K
Male,*,White,Married-civ-spouse,High School,North America,Non-Government,Technical,>50K
Male,20-39,White,Never-married,Higher education,United-States,Non-Government,Other,<=50K
Male,40-59,White,Married-civ-spouse,*,North America,Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,High School,*,Non-Government,*,<=50K
Male,*,White,Never-married,*,*,Non-Government,*,<=50K
*,*,*,Never-married,*,*,Private,Other,<=50K
Male,*,White,Married-civ-spouse,Higher education,*,Government,Technical,>50K
Male,20-39,White,Married-civ-spouse,Some-college,United-States,Non-Government,Craft-repair,>50K
Male,20-39,White,Married-civ-spouse,*,United-States,Non-Government,Technical,<=50K
Male,40-49,White,Married-civ-spouse,High School,United-States,*,Nontechnical,>50K
Male,20-39,*,spouse not present,*,*,*,Technical,<=50K
Male,60-79,White,Married-civ-spouse,High School,United-States,Non-Government,Nontechnical,<=50K
*,*,*,Married-civ-spouse,*,*,Non-Government,*,>50K
Male,20-39,White,spouse not present,Higher education,North America,Government,*,<=50K
Male,20-39,White,Never-married,High School,United-States,Non-Government,Other,<=50K
Female,*,*,Never-married,Higher education,North America,Non-Government,*,>50K
Male,40-59,*,spouse not present,High School,North America,Non-Government,*,<=50K
Female,20-39,White,Never-married,Higher education,United-States,Private,Other,<=50K
Female,*,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,40-59,*,Married-civ-spouse,HS-grad,United-States,*,Other,<=50K
Male,25-29,White,spouse present,High School,North America,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Male,20-39,White,Never-married,High School,United-States,Non-Government,Other,<=50K
Female,*,White,*,Higher education,North America,Non-Government,*,>50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,>50K
Male,20-39,White,Never-married,High School,United-States,Non-Government,Other,<=50K
Male,40-49,White,Married-civ-spouse,High School,United-States,*,Nontechnical,<=50K
Male,*,*,*,High School,United-States,Government,*,<=50K
Female,*,*,spouse not present,High School,United-States,Private,Technical,<=50K
Female,20-39,*,*,*,North America,*,*,<=50K
Male,*,*,spouse not present,*,North America,*,*,<=50K
Female,*,*,*,High School,North America,*,Other,<=50K
*,*,*,spouse not present,High School,North America,Government,*,<=50K
Male,20-39,White,Married-civ-spouse,High School,North America,Non-Government,Transport-moving,<=50K
Male,*,White,spouse not present,Higher education,*,*,*,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,<=50K
Female,20-39,*,Never-married,Undergraduate,North America,Private,Technical,>50K
Female,20-39,White,spouse not present,*,United-States,Non-Government,Other,<=50K
Female,20-39,White,*,Higher education,United-States,Government,*,<=50K
Male,*,*,*,*,North America,Government,*,<=50K
Male,40-59,White,Married-civ-spouse,Bachelors,North America,Private,Exec-managerial,>50K
Male,20-39,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,*,*,Married-civ-spouse,Higher education,*,*,*,<=50K
Female,40-59,White,spouse not present,High School,North America,Private,Nontechnical,<=50K
*,*,White,spouse not present,High School,North America,Private,*,<=50K
Male,20-39,White,*,Higher education,*,Non-Government,Technical,>50K
*,*,*,*,*,*,*,*,>50K
Male,40-59,*,Married-civ-spouse,*,North America,Government,*,>50K
Female,*,White,Never-married,High School,*,Non-Government,*,<=50K
Male,*,White,spouse not present,Higher education,*,*,*,<=50K
Female,*,White,spouse not present,High School,*,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,>50K
Male,*,White,Never-married,Undergraduate,United-States,Private,Nontechnical,<=50K
Female,*,White,*,*,North America,Non-Government,Other,<=50K
Male,20-39,White,Married-civ-spouse,High School,North America,Non-Government,Transport-moving,>50K
Male,*,White,Divorced,*,North America,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,HS-grad,*,Non-Government,Technical,>50K
Female,*,White,spouse not present,High School,United-States,Private,*,<=50K
Male,20-39,White,spouse not present,Higher education,North America,Non-Government,*,<=50K
Male,20-39,White,spouse not present,Higher education,North America,Non-Government,*,<=50K
Male,40-59,White,*,Higher education,North America,*,*,>50K
Male,20-39,*,Never-married,High School,United-States,Private,*,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Technical,<=50K
Female,*,*,*,*,*,Non-Government,*,<=50K
*,*,White,*,*,*,Private,*,<=50K
Male,*,*,*,High School,North America,*,*,<=50K
Female,*,*,spouse not present,*,*,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,>50K
Male,40-59,*,*,*,North America,Non-Government,*,<=50K
Male,*,*,spouse not present,*,North America,Private,*,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,<=50K
Male,20-39,Black,spouse not present,*,*,Non-Government,Other,<=50K
*,*,*,*,High School,*,Non-Government,*,<=50K
Male,*,White,spouse not present,Higher education,United-States,Government,*,<=50K
Male,*,White,Married-civ-spouse,*,*,Government,Other,<=50K
Male,*,*,Married-civ-spouse,*,North America,Non-Government,*,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,*,*,*,*,North America,Government,*,>50K
Female,20-39,White,*,Higher education,United-States,Government,*,<=50K
Male,*,*,Married-civ-spouse,*,*,Government,*,<=50K
Female,*,*,*,High School,North America,*,Other,<=50K
Male,20-39,White,Never-married,High School,North America,Private,Nontechnical,<=50K
*,40-59,*,Married-civ-spouse,High School,United-States,*,*,<=50K
Female,*,*,spouse not present,*,*,Non-Government,*,<=50K
Male,*,White,*,Higher education,United-States,*,Other,>50K
*,*,*,spouse not present,*,North America,*,Other-service,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Exec-managerial,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,United-States,Private,Technical,>50K
Male,40-59,White,spouse not present,Higher education,North America,Non-Government,Nontechnical,>50K
Female,*,*,Married-civ-spouse,*,*,*,*,>50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,Private,Nontechnical,>50K
Male,20-39,*,Married-civ-spouse,High School,*,Non-Government,*,<=50K
Female,30-39,White,spouse not present,*,North America,Private,Adm-clerical,<=50K
Female,*,White,Never-married,Higher education,United-States,Private,Adm-clerical,<=50K
Female,*,White,*,*,North America,Non-Government,Other,<=50K
Male,*,White,*,Higher education,United-States,*,Other,<=50K
Male,20-39,*,Married-civ-spouse,*,*,*,*,>50K
*,*,Asian-Pac-Islander,spouse not present,*,*,*,*,>50K
Male,20-39,*,Married-civ-spouse,High School,*,Non-Government,*,<=50K
Female,*,White,Never-married,HS-grad,United-States,*,*,<=50K
*,20-39,*,spouse not present,*,*,*,*,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,North America,Private,Exec-managerial,>50K
Male,*,White,*,Higher education,United-States,*,Other,<=50K
Female,*,*,Married-civ-spouse,*,*,*,*,<=50K
Female,20-39,White,*,Higher education,United-States,Government,*,<=50K
Female,20-39,White,Never-married,High School,North America,Private,Adm-clerical,<=50K
Female,20-29,White,Never-married,Undergraduate,United-States,Non-Government,Adm-clerical,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,High School,North America,Non-Government,Transport-moving,<=50K
Male,20-39,*,Married-civ-spouse,Higher education,United-States,Private,Technical,<=50K
Male,*,*,*,High School,North America,*,*,<=50K
Male,40-44,White,Married-civ-spouse,HS-grad,*,Private,Craft-repair,<=50K
*,*,*,*,High School,*,Non-Government,*,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,Private,Technical,<=50K
Female,20-39,White,Never-married,High School,North America,Private,Adm-clerical,<=50K
Male,*,White,Married-civ-spouse,*,*,Government,Other,<=50K
*,*,*,*,*,North America,*,*,>50K
Male,20-39,*,Married-civ-spouse,*,*,*,*,<=50K
Male,*,*,Married-civ-spouse,*,North America,*,*,<=50K
Male,*,*,*,*,North America,Government,*,<=50K
Male,45-49,White,spouse present,HS-grad,United-States,Non-Government,Craft-repair,>50K
*,20-39,*,spouse not present,High School,*,*,*,<=50K
Male,*,*,Married-civ-spouse,*,North America,*,*,<=50K
Male,*,White,*,*,*,*,*,>50K
Male,40-59,*,*,*,*,*,*,<=50K
Male,40-59,White,Married-civ-spouse,Bachelors,North America,Private,Exec-managerial,>50K
Male,20-39,White,Married-civ-spouse,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,*,United-States,Non-Government,Technical,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,>50K
Female,15-19,White,Never-married,*,North America,Non-Government,Other,<=50K
Female,*,*,*,*,United-States,*,*,<=50K
*,*,*,*,*,*,*,Technical,>50K
Male,40-59,*,Married-civ-spouse,Higher education,United-States,Non-Government,Nontechnical,>50K
Male,20-39,White,*,Higher education,*,Private,Technical,>50K
Male,20-39,White,Married-civ-spouse,*,United-States,Non-Government,Nontechnical,>50K
Male,40-49,White,Married-civ-spouse,High School,United-States,*,Nontechnical,<=50K
Female,20-39,White,spouse not present,*,*,*,Other,<=50K
*,*,*,*,*,*,*,*,<=50K
Male,*,White,*,Higher education,United-States,*,Other,<=50K
*,40-59,*,spouse not present,*,*,Government,*,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,North America,Non-Government,*,>50K
Female,*,White,*,*,*,*,*,<=50K
Female,*,*,*,Higher education,*,Non-Government,*,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,Private,Nontechnical,>50K
Female,15-19,White,Never-married,*,North America,Non-Government,Other,<=50K
Male,60-79,White,*,Higher education,United-States,Non-Government,*,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,United-States,Private,Technical,<=50K
Male,40-59,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Female,*,*,spouse not present,Higher education,North America,Non-Government,*,<=50K
Female,*,White,*,*,North America,Non-Government,Other,<=50K
Male,40-59,*,Married-civ-spouse,*,North America,Private,Other,<=50K
Female,*,Black,spouse not present,*,North America,Private,*,<=50K
Male,*,White,Divorced,*,North America,Non-Government,*,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,<=50K
Male,20-39,*,Never-married,High School,United-States,Private,*,<=50K
*,*,*,*,High School,*,Non-Government,*,<=50K
Male,20-39,White,Never-married,High School,North America,Non-Government,Craft-repair,<=50K
Male,*,White,Married-civ-spouse,Higher education,*,Government,Technical,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,United-States,Private,Technical,<=50K
Male,*,White,spouse not present,Higher education,United-States,Government,*,<=50K
Female,*,White,*,*,North America,Non-Government,Other,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,United-States,Private,Technical,<=50K
Male,*,White,Married-civ-spouse,Higher education,*,Government,Technical,>50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Private,Nontechnical,>50K
Male,*,White,Married-civ-spouse,Higher education,*,Government,Technical,<=50K
Male,*,White,Married-civ-spouse,*,United-States,Government,*,<=50K
*,*,*,*,*,*,*,*,>50K
Male,*,White,*,HS-grad,United-States,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,United-States,Private,Technical,<=50K
*,*,White,spouse not present,*,North America,Non-Government,*,<=50K
Male,20-39,White,Married-civ-spouse,High School,North America,Non-Government,Other,<=50K
Male,20-39,White,spouse not present,Higher education,North America,Government,*,<=50K
Male,20-39,White,Married-civ-spouse,Graduate,North America,Non-Government,*,>50K
*,*,White,Married-civ-spouse,Higher education,*,Government,*,<=50K
Male,*,*,*,High School,North America,Private,*,<=50K
Male,*,White,*,Higher education,United-States,Non-Government,*,<=50K
*,*,White,spouse not present,High School,North America,Private,*,<=50K
Male,*,*,*,Higher education,North America,Non-Government,*,<=50K
Male,20-39,*,Married-civ-spouse,High School,United-States,Private,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,High School,*,Non-Government,*,<=50K
Female,20-29,White,Never-married,Undergraduate,United-States,Non-Government,Adm-clerical,<=50K
Male,40-59,White,Married-civ-spouse,HS-grad,*,*,Other,<=50K
Male,20-39,White,Never-married,High School,North America,Private,Nontechnical,<=50K
Female,20-39,White,*,Higher education,United-States,Government,*,<=50K
Male,20-39,White,Never-married,Higher education,North America,Non-Government,Technical,<=50K
Male,20-29,White,Never-married,Higher education,United-States,Private,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Technical,<=50K
*,*,White,spouse not present,*,*,Non-Government,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,High School,*,Private,*,<=50K
Female,*,*,spouse not present,Higher education,*,*,*,<=50K
Male,*,*,*,High School,United-States,Government,*,>50K
*,*,White,*,*,*,*,*,>50K
Female,20-39,White,spouse not present,Higher education,North America,Non-Government,Technical,>50K
Male,20-39,*,*,*,United-States,*,*,<=50K
